nohup: ignoring input
[PIPELINE] 2026-03-03 15:12:25 Start STaSy full rerun
2026-03-03 15:12:30,228 - INFO - Starting Evaluation on device: cuda
2026-03-03 15:13:18,619 - INFO - Filtered execution to single model: STaSy (ICLR 23)
2026-03-03 15:13:18,619 - INFO - === Running evaluation for SEED: 42 ===
2026-03-03 15:13:18,620 - INFO - Evaluating STaSy (ICLR 23)...
2026-03-03 15:13:18,620 - INFO - Training STaSy ...
2026-03-03 15:14:22,080 - INFO - [STaSy] Epoch 4/100 - batch 620/836, loss=1.159606
2026-03-03 15:14:22,459 - INFO - [STaSy] Epoch 4/100 - batch 640/836, loss=1.271494
2026-03-03 15:14:22,846 - INFO - [STaSy] Epoch 4/100 - batch 660/836, loss=1.514357
2026-03-03 15:14:23,237 - INFO - [STaSy] Epoch 4/100 - batch 680/836, loss=1.276574
2026-03-03 15:14:23,614 - INFO - [STaSy] Epoch 4/100 - batch 700/836, loss=1.971780
2026-03-03 15:14:23,990 - INFO - [STaSy] Epoch 4/100 - batch 720/836, loss=1.309489
2026-03-03 15:14:24,366 - INFO - [STaSy] Epoch 4/100 - batch 740/836, loss=1.958527
2026-03-03 15:14:24,745 - INFO - [STaSy] Epoch 4/100 - batch 760/836, loss=2.969086
2026-03-03 15:14:25,123 - INFO - [STaSy] Epoch 4/100 - batch 780/836, loss=2.929826
2026-03-03 15:14:25,500 - INFO - [STaSy] Epoch 4/100 - batch 800/836, loss=1.528080
2026-03-03 15:14:25,881 - INFO - [STaSy] Epoch 4/100 - batch 820/836, loss=2.207457
2026-03-03 15:14:26,196 - INFO - [STaSy] Epoch 4/100 - batch 836/836, loss=1.913564
2026-03-03 15:14:26,196 - INFO - [STaSy] Epoch 4/100 - avg_loss=1.673854, batches=836
2026-03-03 15:14:26,583 - INFO - [STaSy] Epoch 5/100 - batch 20/836, loss=1.503592
2026-03-03 15:14:26,968 - INFO - [STaSy] Epoch 5/100 - batch 40/836, loss=1.999274
2026-03-03 15:14:27,344 - INFO - [STaSy] Epoch 5/100 - batch 60/836, loss=1.402532
2026-03-03 15:14:27,721 - INFO - [STaSy] Epoch 5/100 - batch 80/836, loss=1.644605
