nohup: ignoring input
2026-03-02 09:11:29,517 - INFO - Starting Evaluation on device: cuda
2026-03-02 09:12:18,243 - INFO - Filtered execution to single model: TabDiff (ICLR 25)
2026-03-02 09:12:18,243 - INFO - === Running evaluation for SEED: 42 ===
2026-03-02 09:12:18,245 - INFO - Evaluating TabDiff (ICLR 25)...
2026-03-02 09:12:18,245 - INFO - Training TabDiff (ICLR 2025) ...
2026-03-02 09:17:27,465 - INFO - [TabDiff] Epoch 3/100 - batch 540/836, loss=3.405650
2026-03-02 09:17:30,115 - INFO - [TabDiff] Epoch 3/100 - batch 560/836, loss=3.266215
2026-03-02 09:17:32,778 - INFO - [TabDiff] Epoch 3/100 - batch 580/836, loss=3.210596
2026-03-02 09:17:35,522 - INFO - [TabDiff] Epoch 3/100 - batch 600/836, loss=3.071784
2026-03-02 09:17:38,182 - INFO - [TabDiff] Epoch 3/100 - batch 620/836, loss=3.318982
2026-03-02 09:17:40,830 - INFO - [TabDiff] Epoch 3/100 - batch 640/836, loss=3.219986
2026-03-02 09:17:43,501 - INFO - [TabDiff] Epoch 3/100 - batch 660/836, loss=2.726118
2026-03-02 09:17:46,168 - INFO - [TabDiff] Epoch 3/100 - batch 680/836, loss=3.141450
2026-03-02 09:17:48,824 - INFO - [TabDiff] Epoch 3/100 - batch 700/836, loss=4.140774
2026-03-02 09:17:51,493 - INFO - [TabDiff] Epoch 3/100 - batch 720/836, loss=3.439788
2026-03-02 09:17:54,154 - INFO - [TabDiff] Epoch 3/100 - batch 740/836, loss=3.088906
2026-03-02 09:17:56,824 - INFO - [TabDiff] Epoch 3/100 - batch 760/836, loss=3.102665
2026-03-02 09:17:59,483 - INFO - [TabDiff] Epoch 3/100 - batch 780/836, loss=3.223692
2026-03-02 09:18:02,149 - INFO - [TabDiff] Epoch 3/100 - batch 800/836, loss=3.554669
2026-03-02 09:18:04,817 - INFO - [TabDiff] Epoch 3/100 - batch 820/836, loss=3.432971
2026-03-02 09:18:06,950 - INFO - [TabDiff] Epoch 3/100 - batch 836/836, loss=3.849719
2026-03-02 09:18:06,950 - INFO - [TabDiff] Epoch 3/100 - avg_loss=3.407371, batches=836
2026-03-02 09:18:09,623 - INFO - [TabDiff] Epoch 4/100 - batch 20/836, loss=3.532371
2026-03-02 09:18:12,379 - INFO - [TabDiff] Epoch 4/100 - batch 40/836, loss=3.310631
2026-03-02 09:18:15,040 - INFO - [TabDiff] Epoch 4/100 - batch 60/836, loss=3.605474
2026-03-02 09:18:17,686 - INFO - [TabDiff] Epoch 4/100 - batch 80/836, loss=3.367924
2026-03-02 09:18:20,375 - INFO - [TabDiff] Epoch 4/100 - batch 100/836, loss=3.109537
2026-03-02 09:18:23,047 - INFO - [TabDiff] Epoch 4/100 - batch 120/836, loss=3.013195
2026-03-02 09:18:25,697 - INFO - [TabDiff] Epoch 4/100 - batch 140/836, loss=3.230766
