nohup: ignoring input
2026-03-03 11:59:34,769 - INFO - Starting Evaluation on device: cuda
2026-03-03 12:00:25,016 - INFO - Filtered execution to single model: TSDiff (ICLR 23)
2026-03-03 12:00:25,016 - INFO - === Running evaluation for SEED: 42 ===
2026-03-03 12:00:25,017 - INFO - Evaluating TSDiff (ICLR 23)...
2026-03-03 12:00:25,017 - INFO - Training TSDiff (ICLR 2023) ...
2026-03-03 12:00:43,083 - INFO - [TSDiff] Epoch 3/100 - batch 680/836, loss=1.005895
2026-03-03 12:00:43,234 - INFO - [TSDiff] Epoch 3/100 - batch 700/836, loss=1.016121
2026-03-03 12:00:43,389 - INFO - [TSDiff] Epoch 3/100 - batch 720/836, loss=1.023417
2026-03-03 12:00:43,542 - INFO - [TSDiff] Epoch 3/100 - batch 740/836, loss=0.992707
2026-03-03 12:00:43,695 - INFO - [TSDiff] Epoch 3/100 - batch 760/836, loss=0.987410
2026-03-03 12:00:43,849 - INFO - [TSDiff] Epoch 3/100 - batch 780/836, loss=0.996115
2026-03-03 12:00:44,000 - INFO - [TSDiff] Epoch 3/100 - batch 800/836, loss=0.997820
2026-03-03 12:00:44,151 - INFO - [TSDiff] Epoch 3/100 - batch 820/836, loss=1.011201
2026-03-03 12:00:44,275 - INFO - [TSDiff] Epoch 3/100 - batch 836/836, loss=1.041022
2026-03-03 12:00:44,275 - INFO - [TSDiff] Epoch 3/100 - avg_loss=1.000936, batches=836
2026-03-03 12:00:44,408 - INFO - [TSDiff] Epoch 4/100 - batch 20/836, loss=1.006728
2026-03-03 12:00:44,536 - INFO - [TSDiff] Epoch 4/100 - batch 40/836, loss=1.021636
2026-03-03 12:00:44,663 - INFO - [TSDiff] Epoch 4/100 - batch 60/836, loss=0.994947
2026-03-03 12:00:44,791 - INFO - [TSDiff] Epoch 4/100 - batch 80/836, loss=1.005834
2026-03-03 12:00:44,917 - INFO - [TSDiff] Epoch 4/100 - batch 100/836, loss=1.013001
2026-03-03 12:00:45,044 - INFO - [TSDiff] Epoch 4/100 - batch 120/836, loss=1.012008
2026-03-03 12:00:45,170 - INFO - [TSDiff] Epoch 4/100 - batch 140/836, loss=0.989205
2026-03-03 12:00:45,298 - INFO - [TSDiff] Epoch 4/100 - batch 160/836, loss=0.996529
2026-03-03 12:00:45,426 - INFO - [TSDiff] Epoch 4/100 - batch 180/836, loss=1.007484
2026-03-03 12:00:45,554 - INFO - [TSDiff] Epoch 4/100 - batch 200/836, loss=1.015873
2026-03-03 12:00:45,681 - INFO - [TSDiff] Epoch 4/100 - batch 220/836, loss=0.998711
2026-03-03 12:00:45,810 - INFO - [TSDiff] Epoch 4/100 - batch 240/836, loss=1.009559
2026-03-03 12:00:45,938 - INFO - [TSDiff] Epoch 4/100 - batch 260/836, loss=1.006518
2026-03-03 12:00:46,066 - INFO - [TSDiff] Epoch 4/100 - batch 280/836, loss=0.976362
2026-03-03 12:00:46,194 - INFO - [TSDiff] Epoch 4/100 - batch 300/836, loss=1.009034
2026-03-03 12:00:46,321 - INFO - [TSDiff] Epoch 4/100 - batch 320/836, loss=0.998947
2026-03-03 12:00:46,448 - INFO - [TSDiff] Epoch 4/100 - batch 340/836, loss=1.019808
2026-03-03 12:00:46,575 - INFO - [TSDiff] Epoch 4/100 - batch 360/836, loss=1.009351
2026-03-03 12:00:46,703 - INFO - [TSDiff] Epoch 4/100 - batch 380/836, loss=1.009721
2026-03-03 12:00:46,830 - INFO - [TSDiff] Epoch 4/100 - batch 400/836, loss=0.984198
2026-03-03 12:00:46,956 - INFO - [TSDiff] Epoch 4/100 - batch 420/836, loss=0.995412
2026-03-03 12:00:47,085 - INFO - [TSDiff] Epoch 4/100 - batch 440/836, loss=0.990247
2026-03-03 12:00:47,213 - INFO - [TSDiff] Epoch 4/100 - batch 460/836, loss=1.013939
2026-03-03 12:00:47,340 - INFO - [TSDiff] Epoch 4/100 - batch 480/836, loss=0.993259
2026-03-03 12:00:47,467 - INFO - [TSDiff] Epoch 4/100 - batch 500/836, loss=1.028864
2026-03-03 12:00:47,594 - INFO - [TSDiff] Epoch 4/100 - batch 520/836, loss=0.987940
2026-03-03 12:00:47,721 - INFO - [TSDiff] Epoch 4/100 - batch 540/836, loss=1.002427
2026-03-03 12:00:47,847 - INFO - [TSDiff] Epoch 4/100 - batch 560/836, loss=1.004241
2026-03-03 12:00:47,972 - INFO - [TSDiff] Epoch 4/100 - batch 580/836, loss=0.987072
2026-03-03 12:00:48,096 - INFO - [TSDiff] Epoch 4/100 - batch 600/836, loss=0.992864
2026-03-03 12:00:48,221 - INFO - [TSDiff] Epoch 4/100 - batch 620/836, loss=0.984944
2026-03-03 12:00:48,345 - INFO - [TSDiff] Epoch 4/100 - batch 640/836, loss=0.993343
2026-03-03 12:00:48,469 - INFO - [TSDiff] Epoch 4/100 - batch 660/836, loss=1.003255
2026-03-03 12:00:48,594 - INFO - [TSDiff] Epoch 4/100 - batch 680/836, loss=1.003902
2026-03-03 12:00:48,718 - INFO - [TSDiff] Epoch 4/100 - batch 700/836, loss=1.035123
2026-03-03 12:00:48,843 - INFO - [TSDiff] Epoch 4/100 - batch 720/836, loss=0.988051
2026-03-03 12:00:48,969 - INFO - [TSDiff] Epoch 4/100 - batch 740/836, loss=0.994028
2026-03-03 12:00:49,100 - INFO - [TSDiff] Epoch 4/100 - batch 760/836, loss=0.997821
2026-03-03 12:00:49,228 - INFO - [TSDiff] Epoch 4/100 - batch 780/836, loss=1.006946
2026-03-03 12:00:49,355 - INFO - [TSDiff] Epoch 4/100 - batch 800/836, loss=1.012751
2026-03-03 12:00:49,482 - INFO - [TSDiff] Epoch 4/100 - batch 820/836, loss=0.990098
2026-03-03 12:00:49,588 - INFO - [TSDiff] Epoch 4/100 - batch 836/836, loss=1.043365
2026-03-03 12:00:49,588 - INFO - [TSDiff] Epoch 4/100 - avg_loss=1.000335, batches=836
2026-03-03 12:00:49,728 - INFO - [TSDiff] Epoch 5/100 - batch 20/836, loss=1.001908
2026-03-03 12:00:49,870 - INFO - [TSDiff] Epoch 5/100 - batch 40/836, loss=0.976984
2026-03-03 12:00:50,020 - INFO - [TSDiff] Epoch 5/100 - batch 60/836, loss=1.000228
2026-03-03 12:00:50,176 - INFO - [TSDiff] Epoch 5/100 - batch 80/836, loss=1.001375
2026-03-03 12:00:50,334 - INFO - [TSDiff] Epoch 5/100 - batch 100/836, loss=1.015032
2026-03-03 12:00:50,494 - INFO - [TSDiff] Epoch 5/100 - batch 120/836, loss=1.018770
2026-03-03 12:00:50,654 - INFO - [TSDiff] Epoch 5/100 - batch 140/836, loss=0.983662
2026-03-03 12:00:50,813 - INFO - [TSDiff] Epoch 5/100 - batch 160/836, loss=1.009906
2026-03-03 12:00:50,973 - INFO - [TSDiff] Epoch 5/100 - batch 180/836, loss=1.030637
2026-03-03 12:00:51,133 - INFO - [TSDiff] Epoch 5/100 - batch 200/836, loss=1.027353
2026-03-03 12:00:51,292 - INFO - [TSDiff] Epoch 5/100 - batch 220/836, loss=1.024529
2026-03-03 12:00:51,451 - INFO - [TSDiff] Epoch 5/100 - batch 240/836, loss=0.998740
2026-03-03 12:00:51,610 - INFO - [TSDiff] Epoch 5/100 - batch 260/836, loss=1.007021
2026-03-03 12:00:51,769 - INFO - [TSDiff] Epoch 5/100 - batch 280/836, loss=1.011126
2026-03-03 12:00:51,928 - INFO - [TSDiff] Epoch 5/100 - batch 300/836, loss=1.000939
2026-03-03 12:00:52,087 - INFO - [TSDiff] Epoch 5/100 - batch 320/836, loss=1.014894
2026-03-03 12:00:52,246 - INFO - [TSDiff] Epoch 5/100 - batch 340/836, loss=0.985381
2026-03-03 12:00:52,406 - INFO - [TSDiff] Epoch 5/100 - batch 360/836, loss=0.987117
2026-03-03 12:00:52,566 - INFO - [TSDiff] Epoch 5/100 - batch 380/836, loss=1.003843
2026-03-03 12:00:52,726 - INFO - [TSDiff] Epoch 5/100 - batch 400/836, loss=0.988327
2026-03-03 12:00:52,886 - INFO - [TSDiff] Epoch 5/100 - batch 420/836, loss=0.984039
2026-03-03 12:00:53,044 - INFO - [TSDiff] Epoch 5/100 - batch 440/836, loss=0.999693
2026-03-03 12:00:53,203 - INFO - [TSDiff] Epoch 5/100 - batch 460/836, loss=1.006015
2026-03-03 12:00:53,362 - INFO - [TSDiff] Epoch 5/100 - batch 480/836, loss=1.000309
2026-03-03 12:00:53,522 - INFO - [TSDiff] Epoch 5/100 - batch 500/836, loss=1.009941
2026-03-03 12:00:53,681 - INFO - [TSDiff] Epoch 5/100 - batch 520/836, loss=0.984010
2026-03-03 12:00:53,842 - INFO - [TSDiff] Epoch 5/100 - batch 540/836, loss=1.001832
2026-03-03 12:00:54,000 - INFO - [TSDiff] Epoch 5/100 - batch 560/836, loss=0.993590
